title,brand,category,price,date,rating,num_of_ratings,link,description
"NutriCook, Smart Air Fryer Oven, 1800W, 12L, Black, International Warranty",nutricook,air fryers,8750.0,2023-01-09,4.3,415,https://www.amazon.eg/-/en/NutriCook-Smart-Fryer-International-Warranty/dp/B07ZYB62YW/ref=sr_1_3?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-3,"Product description                      Smart Programs: 8 Preset Programs Fries, Meat, Fish, Shrimp, Chicken, Bake,                          Rottiserie and Dehydrate                         Accessories Included: 3 Wire Racks, Drip Tray, Protective                          Cover, 1 set Skewer Rack, 10 Skewers, 1 set Rotisserie Forks, 1 Rotisserie                          Shaft, Fetch Tool                           Brand : NutriCook                             Color : Black                             Package weight in KGs : 8.5                             Type : Air Fryers                             Capacity : 12 Liter                             Model Number : NC-AFO12                             Are batteries needed to power the product or is this product a battery : No                             Is this a Dangerous Good or a Hazardous Material, Substance or Waste that is regulated for transportation, storage, and/or disposal? : No                             External Product ID Type : EAN-13"
"Delonghi Chef Plus FH 1396/1 MultiCooker EXTRA Grey, 1.7 Liters ( international Warranty )",DeLonghi,air fryers,10799.0,2023-01-09,4.4,726,https://www.amazon.eg/-/en/Delonghi-MultiCooker-Liters-international-Warranty/dp/B015QFJ4IC/ref=sr_1_15?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-15,"Product description                        Delonghi EXTRA CHEF PLUS FH 1396/1                             Digital Control Panel: To set the power level and the cooking time                             Recipes Selector Knob: 7 pre-set programs potatoes, pizza, cake, stew, NEW grill function, pan function, oven function and aero grill function.                             High Food Capacity: 1.7 Kg of fresh potatoes to peel and 1,5 Kg of frozen potatoes without adding oil.                             More Recipes: Multifry enables you to serve all your favourite dishes perfectly cooked. Discover the full list of tasty recipes you can prepare with Multifry FH1396/1.                             Rapid Cooking: Time saving: only 27 min for 1 kg of frozen potatoes.                             Excellent Cooking Performance: SHS (Surround Heating System), the exclusive technology by De'Longhi, delivers exceptional performance because it surrounds the food with heat to cook it evenly.                             Maximum food capacity:                             - 1,7 kg of fresh potatoes to peel.                             - 1,5 Kg of frozen potatoes without adding oil.                             Only 1.4 cl for 1 kg of fresh potatoes to peel.                             Professional Multi-cooker (fresh potatoes, frozen potatoes, pizza, cake, risotto, stew, fish, meat and much more).                             Surround Heating System double pro (SHS double pro), to guarantee:                             - Excellent cooking performance: food is crispy outside and tasty and juicy inside.                             - Rapid cooking: time saving.                             - More recipes: cooking experience.                             Upper tubular sheathed heating element for a convection and grill cooking.                             Lower tubular sheathed heating elements (1000 W) to improve the speed and the feasible recipes.                             Automatic mixing process.                             Recipes selector knob: 4 pre-set programs (potatoes, pizza, cake, stew, NEW GRILL FUNCTION) and 3 special programs (pan function, oven function, grill function).                             Digital control panel: to set the power level and the cooking time.                             Mixing paddle: to mix food during the cooking process.                             Removable mixing paddle: this gives the possibility to cook also in a static way (essential for the delicate food).                             Bowl with a non-stick and anti-scratch ceramic coating.                             Complete transparent lid to monitor cooking process.                             “Cool touch” walls.                             Easy to clean: lid, paddle and bowl are removable.                             Accessories: second bowl with flat bottom, without perturabator and mixing paddle, steinless steel grill accessory                          Specifications:                          Max food capacity (fresh potatoes to peel) Kg : 1.7                             Max food capacity (frozen potatoes) Kg: 1.5                             Timer: Integrated LED                             Second bowl with flat bottom: ✓                             Power levels: 4                             Surround Heating system double pro: ✓                             Pre-set cooking functions: 8                             Lower heating element control: Automatic                             Power upper heating element (W): 1400                             Power lower heating element (W): 1000                             Autoshut OFF: ✓                             Controls: Digital                             External dimensions (wxdxh) (mm): 395x325x290                             Dishwasher safe: ✓                             Removable bowl: ✓"
"Philips Essential Air Fryer XL 1.2KG, 6.2L Capacity, Digital Screen,Black - HD9270/90 (International Warranty)",PHILIPS,air fryers,7760.0,2023-01-09,4.6,5050,https://www.amazon.eg/-/en/Philips-Essential-Capacity-Digital-Screen/dp/B08WJBVM5G/ref=sr_1_29?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-29,"Product description                     Philips brings the World’s No.1 Airfryer to everyone’s home. Enjoy healthy food that's crispy on the outside and tender on the inside, thanks to Rapid Air Technology. Download the NutriU app to discover hundreds of tasty recipes every day."
"Ninja Foodi 5-in-1 Indoor Grill with Air Fry, Roast, Bake & Dehydrate (AG302), Black and Silver",Ninja,air fryers,12500.0,2023-01-09,4.8,22903,https://www.amazon.eg/-/en/Ninja-Foodi-Indoor-Dehydrate-Silver/dp/B07S76WBGF/ref=sr_1_51?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-51,"Product description                     Compact in terms of design, it scores high on the aspect of utility too. This is what makes it worth the buy."
"Braun 0.6 Litre Multi Quick 5V Hand Blender with Splash Control Technology | Model No MQ5235WH, International Warranty",Braun,blenders,2599.0,2023-01-09,4.7,4346,https://www.amazon.eg/-/en/Braun-Technology-MQ5235WH-International-Warranty/dp/B086HWCN75/ref=sr_1_12?qid=1673220855&refinements=p_72%3A21909187031&s=home-garden&sr=1-12,Product description                     Braun 0.6 Litre Multi Quick 5V Hand Blender with Splash Control Technology | Model No MQ5235WH
"Braun Countertop Blenders , 60 Watt , 1.8 kg - CJ3050",Braun,blenders,1348.0,2023-01-09,4.6,4175,https://www.amazon.eg/-/en/Braun-Countertop-Blenders-Watt-1-8/dp/B00IYIETAM/ref=sr_1_27?qid=1673220857&refinements=p_72%3A21909187031&s=home-garden&sr=1-27,"Product description                     Tributecollection - Citrus Juicer, White Color, 60 Watt, Anti Drip Spout, Easy to clean, Dishwasher safe Parts, Automatic start/Stop, Jug with Scale, Lid, Cable storage                        Specifications :                        Package weight in KGs : 1.8 kg                        Material : Mixed                        Model Number : CJ3050                        Type : Countertop Blenders                        Wattage : 60 Watt                        Brand : Braun"
Bosch MSM66155 Hand blender ErgoMixx 600 Watts - White,Bosch,blenders,1899.0,2023-01-09,4.6,2528,https://www.amazon.eg/Bosch-MSM66155-blender-ErgoMixx-Watts/dp/B00G9W4RSO/ref=sr_1_29?qid=1673220857&refinements=p_72%3A21909187031&s=home-garden&sr=1-29,"Product description                        Extra-lightweight with special ergonomically shaped handle and comfortable, non-slip soft-touch coating                             Stainless steel blender foot with sharpened four-winged QuattroBlade makes it easy to puree, blend and chop                             With exclusive accessories: chopper for chopping herbs, nuts or cheese, a whisk for egg whites and cream and ProPuree mashing attachment for mashed potatoes                             With 12 speed settings suitable for all kind of applications plus additional turbo button for maximum power at the touch of a button                             Powerful 600 watts motor for perfect results                             Made in Slovenia                             600 Watt                             White / window grey                             Powerful hand blender                             Innovative, sharp four wing blade for perfect results                             Speed selector with 12 speed settings                             ProPuree masher attachment for quick and easy preparation of mashed potatoes and other kinds of puree                             Extra turbo button for maximum performance                             High-quality stainless steel foot                             Quiet, low vibration motor                             Excellent handling through soft touch handle, large buttons and ergonomic shaping                             Easily detachable blender foot with eject button                             Transparent, calibrated mixing beaker                             Handy mini chopper cuts herbs, nuts, onions, meat, cheese, ...                             Stainless steel balloon whisk attachment                             Blender foot and attachments (except gear box) are dishwasher proof"
"Braun Mq100 Multiquick 1 Tribute Collection Hand Blender Soup Maker, White, Plastic Material (International warranty)",Braun,blenders,1199.0,2023-01-09,4.6,9096,https://www.amazon.eg/-/en/Braun-Multiquick-Collection-Material-International/dp/B00IXCFMYG/ref=sr_1_33?qid=1673220859&refinements=p_72%3A21909187031&s=home-garden&sr=1-33,"Product description                      The Braun MQ100 Multiquick 1 Hand Blender is the kitchen tool you need to prepare your favorite meals. This device looks trendy with its slim structure and white finish and is quite easy to operate. It comes with a 600ml plastic beaker for easy measurement of your ingredients. The appliance ensures all your foods are blended precisely and quickly with its PowerBell technology. Blending ingredients often leave the kitchen messy, but not with this blender. It has a unique anti splash design that ensures your kitchen counter remains spotless, even after prolonged use, Invoice is an proof for warranty .                         Key Features                         Simple speed activation                         Compact and handy                         Beaker                         PowerBell technology                         A Blender with a Personality                         This hand blender looks smart and stylish with its super thin body and elegant white color. It has a large green speed activation button at the front that requires only a touch to get the device started. The blender’s ergonomic design allows you to operate it with just one hand. And when not in use, this soup hand blender can stand elegantly in any corner of your kitchen.                         The Secret Behind its Perfect Results                         The Braun blender incorporates PowerBell technology that delivers perfectly even blending results. The blades of the appliance are made up of ultra hard stainless steel that are angled in opposite direction to reduce suction. The floral bell shape of the shell helps in drawing the ingredients towards the angled blades, resulting in instant blending, Invoice is an proof for warranty ."
"Braun Multiquick 7 Hand Blender 750 Watts, Black - Mq745, Plastic Material ( International warranty )",Braun,blenders,3048.0,2023-01-09,4.5,2872,https://www.amazon.eg/-/en/Braun-Multiquick-Blender-Watts-Black/dp/B00EQB0ZY0/ref=sr_1_66?qid=1673220863&refinements=p_72%3A21909187031&s=home-garden&sr=1-66,"Product description                      Bring home this stylish, black Braun Multiquick 7 Hand Blender and equip your kitchen with the tools needed to prepare all your favorite dishes. This hand blender is an ideal solution for all your blending, whipping, and ice crushing needs. It has a sturdy build, smart speed control, and employs revolutionary technology that gets you the desired outcomes effeciently. You can process the ingredients for all of your favorite recipes with one hand while changing the speed simultaneously. Also, this Braun hand mixer is available with a range of accessories that cater to both large and small food quantities. It has a powerful 750W motor and is made using sturdy materials that perform well for years to come.            Physical Features -->             Key Features                         Smart Speed                         PowerBell design for perfect blending results                         Thermal cut-off                         Powerful 750 W motor                         Convenience and Performance                         The Braun Multiquick 7 Hand Blender is ergonomically designed to make mixing, chopping or crushing ice comfortable and quick. It features an extra large speed button positioned near the soft grip handle to make it easy to hold and control. Also, this hand blender uses Braun’s patented Power Bell feature; a combination of hard stainless steel blades and a unique blending bell shape that guarantees the best mixing performance every time.                         Highly Functional                         Set up dinner in no time with the help of this Braun Multiquick 7 hand blender that will expand your mastery of the culinary arts. It has innovative features such as Easy Click accessories that allow the hand blender's shaft to be detached easily. The anti splash metal shaft makes for a neat kitchen even after you've prepared your favorite chutneys. Also, this blender has a powerful 750W motor that ensures an excellent performance that remains silent. All of Brauns accessories and parts are made out of BPA free plastic to ensure a safe and healthy cooking environment."
Braun Multiquick 5 Vario Hand Blender MQ 5035 WH Sauce - White ( International warranty ),Braun,blenders,3400.0,2023-01-09,4.7,5267,https://www.amazon.eg/-/en/Braun-Multiquick-Vario-Blender-Sauce/dp/B00MWURBSK/ref=sr_1_83?qid=1673220865&refinements=p_72%3A21909187031&s=home-garden&sr=1-83,"Product description                      Choose the Braun Multiquick 5 Vario MQ5035 Hand Blender to enhance your meal preparation experience. This 750W blender gives exceptional results in less time with its powerful and surprisingly silent performance. When you have this blender in hand, you can prepare a large variety of meals easily as it is capable of chopping, mincing, and slicing. It provides 21 different speed options, which can be selected with a simple thumb gesture on its speed wheel. You can attach and detach the appliance effortlessly with its EasyClick System.                         Key Features                         Brand: Braun                         Energy Consumption: 750 Watts                         Material: Plastic                         Type: Hand Blenders                         Color: White                         Provides All Types of Food Mixing                         The Braun Multiquick 5 hand blender incorporates the patented, cutting edge PowerBell technology. This is a combination of ultra sharp stainless steel blades and a unique bell shaped blending shaft that provides even chopping results and lump free, pure blends. The Braun hand blender includes various attachments that remove the need to clutter up your kitchen with different appliances for various needs. It has a kneading hook that softens and blends even the heaviest of dough. Its stainless steel ice crushing knife delivers superb smashing of ice cubes. The 500ml chopper lets you cut hard ingredients such as herbs, onions, etc. effortlessly. Apart from this, it also shreds, slices, purees, and minces your food efficiently.                         Turn the Wheel of Speed                         The 750W Braun Multiquick 5 Vario blender works with a powerful yet silent motor that adds a boost of speed to its efficient performance; thus, giving you quick and even results every time. It offers 21 speed options to help you choose the desirable pace at which you want the food to be sliced or blended. It features a one hand speed wheel that can be controlled with your thumb. This offers a seamless change of speed even during operation."
